id,time_stamp,symbol,quote_count,trade_count,open_px,close_px,high_px,low_px,created,modified
29,2013-07-19 08:54:00.000541+01,LFZ,584,34,6392.5000000000,6391.0000000000,6393.5000000000,6390.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
30,2013-07-19 08:54:00.000541+01,EUR/GBP,62,2,0.8427500000,0.8427500000,0.8427500000,0.8427500000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
31,2013-07-19 08:55:00.000336+01,6A,88,4,1.0293000000,1.0293000000,1.0293000000,1.0293000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
32,2013-07-19 08:55:00.000336+01,FDAX,704,40,7866.0000000000,7863.0000000000,7866.0000000000,7863.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
33,2013-07-19 08:55:00.000336+01,LFZ,219,17,6390.5000000000,6389.0000000000,6390.5000000000,6389.0000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
34,2013-07-19 08:55:00.000336+01,EUR/GBP,48,3,0.8427500000,0.8428000000,0.8428000000,0.8427500000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
35,2013-07-19 08:56:00.000252+01,6A,293,10,1.0293000000,1.0293000000,1.0293000000,1.0293000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
36,2013-07-19 08:56:00.000252+01,FDAX,749,34,7862.5000000000,7863.5000000000,7864.5000000000,7862.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
37,2013-07-19 08:56:00.000252+01,LFZ,311,16,6388.5000000000,6390.5000000000,6391.0000000000,6388.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
38,2013-07-19 08:56:00.000252+01,EUR/GBP,111,5,0.8428000000,0.8428500000,0.8429000000,0.8427500000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
39,2013-07-19 08:57:00.00004+01,6A,383,28,1.0294000000,1.0294000000,1.0295000000,1.0294000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
40,2013-07-19 08:57:00.00004+01,FDAX,576,14,7864.5000000000,7866.0000000000,7866.0000000000,7864.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
41,2013-07-19 08:57:00.00004+01,LFZ,159,5,6391.0000000000,6391.0000000000,6391.0000000000,6390.5000000000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
42,2013-07-19 08:57:00.00004+01,EUR/GBP,70,0,0.8429750000,0.8429750000,0.8429750000,0.8429750000,2014-08-23 11:48:00.000188+01,2014-08-23 11:48:00.000188+01
