Date,Symbol,TimeStamp,QuoteCount,TradeCount,OpenPx,ClosePx,HighPx,LowPx
20130719,FDAX,2013-07-19 09:01:00.000459848,1171,70,7871.0000000,7866.5000000,7871.5000000,7866.5000000
20130719,LFZ,2013-07-19 09:01:00.000459848,370,23,6391.0000000,6389.0000000,6391.0000000,6388.0000000
20130719,EUR/GBP,2013-07-19 09:01:00.000459848,197,1,0.8432000,0.8432000,0.8432000,0.8432000
20130719,6A,2013-07-19 09:02:00.000314462,577,41,1.0297000,1.0296000,1.0298000,1.0296000
20130719,FDAX,2013-07-19 09:02:00.000314462,1097,76,7867.0000000,7862.0000000,7867.0000000,7861.5000000
20130719,LFZ,2013-07-19 09:02:00.000314462,297,27,6388.5000000,6386.5000000,6388.5000000,6386.5000000
20130719,EUR/GBP,2013-07-19 09:02:00.000314462,202,9,0.8431000,0.8432000,0.8432000,0.8431000
20130719,6A,2013-07-19 09:03:00.000539823,461,20,1.0297000,1.0297000,1.0297000,1.0297000
20130719,FDAX,2013-07-19 09:03:00.000539823,927,53,7862.0000000,7863.0000000,7865.0000000,7861.5000000
20130719,LFZ,2013-07-19 09:03:00.000539823,342,26,6387.0000000,6388.5000000,6389.5000000,6387.0000000
20130719,EUR/GBP,2013-07-19 09:03:00.000539823,151,9,0.8432000,0.8432000,0.8432000,0.8432000
20130719,6A,2013-07-19 09:04:00.000535285,343,21,1.0297000,1.0297000,1.0297000,1.0296000
20130719,FDAX,2013-07-19 09:04:00.000535285,758,45,7862.5000000,7860.5000000,7863.0000000,7858.5000000
20130719,LFZ,2013-07-19 09:04:00.000535285,248,17,6388.0000000,6388.0000000,6388.0000000,6387.0000000
20130719,EUR/GBP,2013-07-19 09:04:00.000535285,78,0,0.8430750,0.8430750,0.8430750,0.8430750
20130719,6A,2013-07-19 09:05:00.000545935,910,63,1.0296000,1.0295000,1.0296000,1.0295000
20130719,FDAX,2013-07-19 09:05:00.000545935,2899,364,7860.0000000,7850.0000000,7860.5000000,7845.0000000
